"","community","source","target","tp","fp","tn","fn","f1","g1","pf","pci","pii","recall","mcc","ifa","ifap","mdd","ifap2","ifa_pii","ifa_pci","ifap3","roi","roi2","roi3","cutoff"
"513","NETGENE","NETGENE-rhino","NETGENE-rhino_wholeProject.csv","43","3","97","38","0.677165354330709","0.686189026898083","0.03","0.594830098502069","0.25414364640884","0.530864197530864","0.57202722385227","0","0","0.924193765030427","0","0","0","0",2.08883521202362,1.25060215516223,1.36536051850346,60
"514","RELINK","RELINK-Apache2.0","RELINK-Apache2.0_wholeProject.csv","72","68","28","26","0.605042016806723","0.417564208782104","0.708333333333333","0.588725595244809","0.721649484536082","0.73469387755102","0.0294064181661637","4","0.000144416639913155","2.01309587952288","0.0138113818684095","0.0206185567010309","0.007004207035788","0.0120173474574531",1.01807580174927,1.12134897692631,1.12716322021312,60
"515","RELINK","RELINK-openintents","RELINK-openintents_wholeProject.csv","13","7","27","9","0.619047619047619","0.677606177606178","0.205882352941176","0.555073606729758","0.357142857142857","0.590909090909091","0.392441964100637","0","0","2.99071584548575","0","0","0","0",1.65454545454546,1.2955457707933,1.32716340620996,60
"516","RELINK","RELINK-zxing1.6","RELINK-zxing1.6_wholeProject.csv","42","71","210","76","0.363636363636364","0.482204362801378","0.252669039145907","0.599408721359941","0.283208020050125","0.355932203389831","0.104596548565215","0","0","2.18676208567958","0","0","0","0",1.25678716064197,0.80653852729146,0.863879126312881,60
"517","AEEEM","AEEEM-eclipse","AEEEM-eclipse_wholeProject.csv","109","134","657","97","0.485523385300668","0.646440483659128","0.169405815423515","0.692834348709022","0.243731193580742","0.529126213592233","0.339233011402891","0","0","0.603209099594918","0","0","0","0",2.17094170761916,1.12992885110549,1.28762385689503,70
"518","AEEEM","AEEEM-equinox","AEEEM-equinox_wholeProject.csv","66","34","161","63","0.576419213973799","0.631766699366806","0.174358974358974","0.697703242778368","0.308641975308642","0.511627906976744","0.357408181536154","3","0.000157154928996888","2.02723238679233","0.0131159957954616","0.00925925925925926","0.0169727323316639","0.0125361449017187",1.65767441860465,1.01680397100572,1.10253239671736,70
"519","AEEEM","AEEEM-lucene","AEEEM-lucene_wholeProject.csv","41","166","461","23","0.302583025830258","0.684682400246328","0.264752791068581","0.69818539571491","0.299565846599132","0.640625","0.237879008738193","1","5.24024610252247e-06","1.02463924131854","0.00253409402986869","0.00144717800289436","0.00362101005684303","0.00228915838301382",2.13851147342995,1.28413771455544,1.40078780944651,70
"520","AEEEM","AEEEM-mylyn","AEEEM-mylyn_wholeProject.csv","155","596","1021","90","0.311244979919679","0.632034026918008","0.368583797155226","0.69929277011185","0.403329752953813","0.63265306122449","0.181961249030656","2","7.64462014639386e-06","1.2493570967545","0.00409562760618071","0.00107411385606874","0.00711714135629268","0.00276489062105427",1.56857523302264,1.14754242361293,1.19125836851628,70
"521","AEEEM","AEEEM-pde","AEEEM-pde_wholeProject.csv","124","354","934","85","0.36098981077147","0.652635256594481","0.274844720496894","0.699207904621917","0.319305277221109","0.593301435406699","0.236744798000516","0","0","1.09517205433175","0","0","0","0",1.85810093892014,1.16503437752883,1.25565169204726,70
"522","ALLJURECZKO","ALLJURECZKO-ant-1.3","ALLJURECZKO-ant-1.3_wholeProject.csv","17","31","74","3","0.5","0.770597243491577","0.295238095238095","0.694739913525558","0.384","0.85","0.418167519563208","1","8.38218520385156e-05","0.717273663037405","0.00923886575240723","0.008","0.0104777315048145","0.00915542746345115",2.21354166666667,1.57591276514839,1.64566786371003,70
