"","community","source","target","tp","fp","tn","fn","f1","g1","pf","pci","pii","recall","mcc","ifa","ifap","mdd","ifap2","ifa_pii","ifa_pci","ifap3","roi2","roi3","cutoff","roi"
"754","Amasaki15","Amasaki15-NB","ALLJURECZKO-xerces-1.4.csv",369,97,54,68,0.817275747508306,0.50243957789629,0.642384105960265,0.799985833687491,0.792517006802721,0.844393592677345,0.217634671183019,0,0,1.94510392396785,0,0,0,0,1.06046101923111,1.06047268239111,80,1.06545800964438
"755","Amasaki15","Amasaki15-NB","ALLJURECZKO-zuzel.csv",9,4,12,4,0.692307692307692,0.72,0.25,0.793842313293114,0.448275862068966,0.692307692307692,0.442307692307692,0,0,0.675660602138406,0,0,0,0,1.11472113690935,1.16053798038354,80,1.54437869822485
"756","Amasaki15","Amasaki15-NB","MDP-CM1.csv",39,287,15,3,0.21195652173913,0.094294003868472,0.950331125827815,0.799500954058418,0.947674418604651,0.928571428571429,-0.0319915964456746,0,0,3.55208683976668,0,0,0,0,1.06294015254586,1.06678338922004,80,0.979842243645925
"757","Amasaki15","Amasaki15-NB","MDP-JM1.csv",1580,7549,285,179,0.290227773695812,0.06992759938924,0.963620117436814,0.8,0.951631397894298,0.898237635019898,-0.117927614962503,0,0,6.0457547936528,0,0,0,0,1.02560120365472,1.02946567969951,80,0.943892390485911
"758","Amasaki15","Amasaki15-NB","MDP-KC1.csv",289,1182,589,36,0.321826280623608,0.484102246162072,0.667419536984754,0.799973882667885,0.701812977099237,0.889230769230769,0.175504457219757,0,0,9.64187521246094,0,0,0,0,1.18423032329456,1.18676814437047,80,1.26704805731318
"759","Amasaki15","Amasaki15-NB","MDP-KC3.csv",31,155,9,5,0.279279279279279,0.103180473372781,0.945121951219512,0.799496380232924,0.93,0.861111111111111,-0.126499267913109,0,0,4.94730968091552,0,0,0,0,0.995794059996979,0.998641173616661,80,0.925925925925926
"760","Amasaki15","Amasaki15-NB","MDP-MC1.csv",56,4437,4772,12,0.0245560184170138,0.636115210664128,0.481811271582148,0.799996619280245,0.484316050447343,0.823529411764706,0.0583263677921705,2,4.88322137761786e-07,1.38697349927497,0.00124033458571988,0.000215586935431713,0.00226508223600805,0.000698800499256967,1.28244380231705,1.32303278875083,80,1.70039669551328
"761","Amasaki15","Amasaki15-NB","MDP-MC2.csv",38,70,13,6,0.5,0.265163714439077,0.843373493975904,0.799039385206532,0.850393700787402,0.863636363636364,0.0270319675284123,1,0.000246583009976779,6.72013930162892,0.0195950290075412,0.0078740157480315,0.0313160422670509,0.0157029618217959,1.04719175451236,1.04769967600051,80,1.01557239057239
"762","Amasaki15","Amasaki15-NB","MDP-MW1.csv",20,224,13,7,0.14760147601476,0.102141033195836,0.945147679324895,0.79964902018134,0.924242424242424,0.740740740740741,-0.23406785641645,1,3.37906706728e-05,4.0111462859184,0.00635430792274899,0.00378787878787879,0.00892073705761919,0.00581297433959586,0.859382118446959,0.861635486410771,80,0.801457194899818
"763","Amasaki15","Amasaki15-NB","MDP-PC1.csv",51,663,35,10,0.131612903225806,0.0946121432168129,0.949856733524355,0.79980034485888,0.940711462450593,0.836065573770492,-0.130992306672295,2,2.36745226624368e-05,2.81355028441097,0.00580976373185088,0.00263504611330698,0.00898448135039477,0.00486564719872257,0.960712326408062,0.963876361572819,80,0.888758782201405
"764","Amasaki15","Amasaki15-NB","MDP-PC2.csv",12,1449,120,4,0.016249153689912,0.138808559861191,0.923518164435946,0.8,0.921766561514196,0.75,-0.0645922566090319,108,0.00941476181472599,3.41308512714041,0.103154574132492,0.0681388012618297,0.138170347003155,0.0970296955304199,0.871198241113961,0.873385133475358,80,0.813655030800821
"765","Amasaki15","Amasaki15-NB","MDP-PC3.csv",132,947,38,8,0.216570959803117,0.0741244273681099,0.961421319796954,0.799935567010309,0.959111111111111,0.942857142857143,-0.030943411587504,1,3.66552119129439e-06,4.81733360745251,0.00250630011454754,0.000888888888888889,0.00412371134020619,0.0019145550896473,1.07200923612109,1.07642538471127,80,0.983053091486827
"766","Amasaki15","Amasaki15-NB","MDP-PC4.csv",166,1117,104,12,0.227241615331964,0.15609544390094,0.914823914823915,0.8,0.917083631165118,0.932584269662921,0.0214623438642076,0,0,6.52975040058281,0,0,0,0,1.08624210578505,1.08877620605091,80,1.01690209918817
"767","Amasaki15","Amasaki15-NB","MDP-PC5.csv",488,14865,1633,15,0.0615539858728557,0.179636160268734,0.901018305249121,0.799994788307568,0.90306452561614,0.970178926441352,0.0396080351667668,0,0,4.16954611251913,0,0,0,0,1.13933662616382,1.14142890654684,80,1.07431849986514
"768","Amasaki15","Amasaki15-NB","NETGENE-httpclient.csv",82,44,11,14,0.738738738738739,0.324110671936759,0.8,0.8,0.834437086092715,0.854166666666667,0.0701283781217662,0,0,1.30184451890825,0,0,0,0,1.04521204754187,1.04544412631244,80,1.02364417989418
